gender,first-name,last-name,date-bought-car,year-bought-car,car-make,engine-type,year-of-visit,date-of-visit,car-age-in-years,car-miles,car-age-in-months,has-issue-in-first-10k
Male,NOAH,NEWMAN,2005-08-01,2005,Manufacturer_2,petrol,2013,2013-08-12,8,175664,96,False
Female,SAMANTHA,LEAL,2010-03-01,2010,Manufacturer_4,diesel,2017,2017-01-09,7,80815,82,False
Female,CAMILA,SANTOS,2006-09-01,2006,Manufacturer_1,petrol,2014,2014-02-23,8,74632,89,False
Male,ETHAN,HURST,2013-05-01,2013,Manufacturer_2,petrol,2018,2018-03-24,5,89565,58,False
Male,DANIEL,MAYS,2016-12-01,2016,Manufacturer_4,petrol,2019,2019-08-13,3,22536,32,False
Female,ISABELLA,COLLIER,2013-01-01,2013,Manufacturer_1,petrol,2020,2020-09-23,7,52325,92,False
Female,SARAH,LLOYD,2006-05-01,2006,Manufacturer_4,diesel,2009,2009-12-06,3,27066,43,False
Female,CHLOE,LARSEN,2009-09-01,2009,Manufacturer_3,diesel,2012,2012-09-25,3,29016,36,False
Male,JOSEPH,HOWARD,2018-02-01,2018,Manufacturer_2,petrol,2020,2020-09-23,2,38806,31,False
Male,MATTHEW,ROJAS,2006-12-01,2006,Manufacturer_2,petrol,2015,2015-09-03,9,155907,105,False
Male,JUAN,ANTHONY,2014-02-01,2014,Manufacturer_1,petrol,2020,2020-03-02,6,62418,73,False
Male,DYLAN,MILLS,2019-01-01,2019,Manufacturer_2,petrol,2020,2020-03-25,1,15839,14,False
Female,OLIVIA,SIMMONS,2009-09-01,2009,Manufacturer_1,diesel,2015,2015-10-09,6,118704,73,False
Male,NATHAN,JACOBS,2012-06-01,2012,Manufacturer_1,petrol,2013,2013-06-03,1,21472,12,False
Female,SAMANTHA,SULLIVAN,2017-09-01,2017,Manufacturer_5,petrol,2020,2020-12-05,3,43131,39,False
Male,LUIS,HUERTA,2015-02-01,2015,Manufacturer_3,petrol,2020,2020-08-23,5,62965,66,False
Male,JULIAN,CHARLES,2006-12-01,2006,Manufacturer_4,diesel,2012,2012-05-15,6,111066,65,False
Female,ALEXA,DOUGHERTY,2016-04-01,2016,Manufacturer_2,diesel,2020,2020-04-24,4,74008,48,False
Male,OLIVER,CONNER,2007-06-01,2007,Manufacturer_1,diesel,2014,2014-02-07,7,81865,80,False
Male,ANGEL,CRAIG,2010-09-01,2010,Manufacturer_4,petrol,2018,2018-10-05,8,96728,97,False
Male,JOSHUA,LEWIS,2016-02-01,2016,Manufacturer_3,diesel,2017,2017-01-04,1,19544,11,False
Male,AIDEN,CONRAD,2008-08-01,2008,Manufacturer_5,diesel,2015,2015-01-16,7,33257,77,False
Female,EMMA,BEAN,2016-01-01,2016,Manufacturer_2,petrol,2020,2020-05-09,4,48628,52,False
Female,GENESIS,HALL,2013-10-01,2013,Manufacturer_4,petrol,2014,2014-09-15,1,23405,11,False
Female,MADISON,JENKINS,2015-01-01,2015,Manufacturer_5,petrol,2017,2017-04-08,2,8376,27,True
Female,ARIA,MENDEZ,2018-03-01,2018,Manufacturer_5,diesel,2020,2020-10-03,2,25580,31,False
Female,ELIZABETH,GORDON,2008-06-01,2008,Manufacturer_5,diesel,2014,2014-08-03,6,101082,74,False
Female,EVELYN,PERRY,2016-02-01,2016,Manufacturer_3,petrol,2017,2017-02-20,1,9084,12,True
Female,ASHLEY,RASMUSSEN,2008-07-01,2008,Manufacturer_5,diesel,2015,2015-01-14,7,155267,78,False
Female,EMILY,PHAM,2013-01-01,2013,Manufacturer_1,petrol,2020,2020-06-23,7,119777,89,False
Male,GABRIEL,KELLY,2007-09-01,2007,Manufacturer_1,petrol,2010,2010-08-22,3,60549,35,False
Female,CAMILA,CARLSON,2005-03-01,2005,Manufacturer_1,petrol,2013,2013-10-16,8,87592,103,False
Female,MADISON,ESCOBAR,2013-11-01,2013,Manufacturer_3,petrol,2020,2020-06-18,7,82845,79,False
Male,LIAM,NIXON,2007-02-01,2007,Manufacturer_3,diesel,2011,2011-01-18,4,74692,47,False
Male,DAVID,HARDIN,2009-02-01,2009,Manufacturer_1,diesel,2013,2013-08-24,4,46304,54,False
Female,AVA,BURGESS,2013-07-01,2013,Manufacturer_4,diesel,2020,2020-01-04,7,63833,78,False
Female,ABIGAIL,BARNETT,2005-12-01,2005,Manufacturer_2,diesel,2013,2013-03-05,8,90096,87,False
Male,CHRISTOPHER,WILCOX,2009-09-01,2009,Manufacturer_3,diesel,2013,2013-04-12,4,90780,43,False
Female,ABIGAIL,KELLER,2008-04-01,2008,Manufacturer_4,petrol,2015,2015-01-21,7,116459,81,False
Male,DIEGO,MAYO,2005-07-01,2005,Manufacturer_2,diesel,2009,2009-04-15,4,70268,45,False
Female,KIMBERLY,NUNEZ,2013-04-01,2013,Manufacturer_4,diesel,2016,2016-07-20,3,42735,39,False
Male,ISAAC,HAYES,2014-08-01,2014,Manufacturer_2,petrol,2020,2020-01-25,6,32256,65,False
Male,MATTHEW,ORTEGA,2010-05-01,2010,Manufacturer_1,petrol,2019,2019-04-02,9,81765,107,False
Female,SOFIA,KNIGHT,2019-02-01,2019,Manufacturer_5,petrol,2020,2020-07-13,1,12291,17,False
Female,SOPHIA,MAXWELL,2011-07-01,2011,Manufacturer_4,petrol,2012,2012-09-17,1,9724,14,True
Male,SEBASTIAN,KRUEGER,2007-08-01,2007,Manufacturer_5,diesel,2013,2013-11-15,6,40410,75,False
Male,NATHAN,GLOVER,2007-04-01,2007,Manufacturer_3,petrol,2011,2011-06-24,4,28808,50,False
Female,OLIVIA,CANO,2013-09-01,2013,Manufacturer_1,diesel,2017,2017-10-23,4,74052,49,False
Male,OLIVER,HARTMAN,2019-07-01,2019,Manufacturer_2,diesel,2020,2020-12-11,1,5810,17,True
Male,JAYDEN,GREEN,2010-01-01,2010,Manufacturer_5,diesel,2012,2012-02-19,2,24962,25,False
