,gender,first-name,last-name,date-bought-car,year-bought-car,car-make,engine-type,year-of-visit,date-of-visit,car-age-in-years,car-miles,car-age-in-months
0,Female,CAMILA,PARK,2012-03-01,2012,Manufacturer_3,petrol,2015,2015-08-17,3,61251,41
1,Male,JAYDEN,DRAKE,2013-01-01,2013,Manufacturer_2,diesel,2017,2017-03-17,4,42612,50
2,Female,MIA,VAUGHAN,2006-08-01,2006,Manufacturer_4,diesel,2008,2008-04-14,2,50360,20
3,Male,JOSE,THOMPSON,2019-12-01,2019,Manufacturer_3,petrol,2020,2020-10-19,1,22731,10
4,Female,PENELOPE,CONWAY,2005-12-01,2005,Manufacturer_5,petrol,2009,2009-06-05,4,60364,42
5,Female,CHARLOTTE,NOVAK,2010-07-01,2010,Manufacturer_1,diesel,2016,2016-05-01,6,158442,70
6,Female,ELIZABETH,WANG,2011-09-01,2011,Manufacturer_1,diesel,2020,2020-05-17,9,77121,104
7,Female,SAMANTHA,BOWEN,2010-03-01,2010,Manufacturer_3,petrol,2016,2016-06-25,6,145596,75
8,Female,ALLISON,HOLLAND,2007-02-01,2007,Manufacturer_3,diesel,2012,2012-05-01,5,42820,63
9,Male,ETHAN,BOOKER,2014-01-01,2014,Manufacturer_4,petrol,2020,2020-05-17,6,57732,76
10,Female,AVA,HARDIN,2016-08-01,2016,Manufacturer_4,petrol,2018,2018-04-12,2,48004,20
11,Male,ANGEL,ZIMMERMAN,2014-11-01,2014,Manufacturer_4,petrol,2020,2020-02-23,6,97374,63
12,Male,CHRISTIAN,AVERY,2017-03-01,2017,Manufacturer_3,petrol,2019,2019-09-18,2,30400,30
13,Male,RYAN,GATES,2007-03-01,2007,Manufacturer_4,petrol,2011,2011-12-05,4,75276,57
14,Female,MIA,FISCHER,2016-12-01,2016,Manufacturer_1,petrol,2018,2018-04-07,2,31394,16
15,Male,JOSEPH,CHANDLER,2018-12-01,2018,Manufacturer_2,diesel,2020,2020-04-09,2,12594,16
16,Male,JOSE,MORRISON,2016-05-01,2016,Manufacturer_1,diesel,2020,2020-06-22,4,43780,49
17,Male,JACOB,BYRD,2014-06-01,2014,Manufacturer_5,diesel,2019,2019-07-25,5,101875,61
18,Female,AVA,HOOD,2008-04-01,2008,Manufacturer_5,diesel,2010,2010-02-18,2,52942,22
19,Male,LOGAN,KEMP,2009-02-01,2009,Manufacturer_3,diesel,2015,2015-07-14,6,37218,77
20,Male,JAYDEN,HUTCHINSON,2014-12-01,2014,Manufacturer_3,petrol,2018,2018-08-01,4,30600,44
21,Male,ETHAN,PROCTOR,2015-03-01,2015,Manufacturer_4,petrol,2018,2018-02-15,3,38082,35
22,Male,GABRIEL,ELLIS,2007-04-01,2007,Manufacturer_4,petrol,2015,2015-09-21,8,235416,101
